p_decay,w_visible,theta,T_survival,final_visible_ratio,run_id,tail_mean_visible_ratio_N20
0.99,0.015,0.1,99,0.20754716981132076,0c6a8279-1b33-4816-87c3-01c433b10ba6,0.28867924528301886
0.99,0.02,0.1,78,0.018867924528301886,0071ac9f-d63d-4e3e-8476-7e62ce166403,0.048113207547169815
0.99,0.03,0.1,36,0.0,121e9e57-ffe1-4b13-8a58-bc7b78152258,0.0
0.995,0.015,0.1,99,0.5471698113207547,5ef34ad9-b23a-4b93-9360-9e02c1ea6821,0.5669811320754717
0.995,0.02,0.1,99,0.4339622641509434,00bf2f66-42bd-476b-b1b0-b26d7e2c6857,0.469811320754717
0.995,0.03,0.1,74,0.0,21f55f14-c842-451a-bd00-f0c074daba54,0.041509433962264156
0.999,0.015,0.1,99,0.7735849056603774,701748e6-4e15-4a85-b68a-9c7c2097f93a,0.7735849056603774
0.999,0.02,0.1,99,0.5849056603773585,a57f24f4-a012-42c8-bcf5-5b04141e0855,0.5849056603773585
0.999,0.03,0.1,99,0.41509433962264153,00c2161f-7280-4a2c-9db2-96783d22b1ed,0.4320754716981132
