p_decay,w_visible,theta,T_survival,final_visible_ratio,run_id,tail_mean_visible_ratio_N20
0.995,0.018,0.1,99,0.5094339622641509,9bc11759-a679-458d-aeed-815c9a8c04d9,0.5094339622641509
0.995,0.019,0.1,99,0.49056603773584906,99c3690f-f506-47b5-ad62-333333cebe4e,0.5018867924528302
0.995,0.02,0.1,99,0.4339622641509434,b20e667f-263d-409b-ae45-e2fcc869ed07,0.469811320754717
0.995,0.021,0.1,99,0.37735849056603776,a9cb5179-05b7-41a3-bcc5-5a91a8e6257a,0.419811320754717
0.995,0.022,0.1,99,0.3018867924528302,e63ea65c-4faf-4985-b419-aa9ba6b0a33c,0.36886792452830186
0.995,0.023,0.1,99,0.2641509433962264,97e63b8c-836c-4a6b-bbc2-78e1e2397205,0.31886792452830187
0.995,0.024,0.1,99,0.20754716981132076,3ba42836-c1ae-45c7-96ec-7a50c0eb74bd,0.2688679245283019
0.995,0.025,0.1,99,0.20754716981132076,7b7349fa-969a-4fae-a6ba-930792b2e011,0.23301886792452828
0.995,0.026,0.1,99,0.1320754716981132,76fde75a-953c-4c25-9c53-8f1486fef260,0.19905660377358492
0.995,0.027,0.1,95,0.07547169811320754,5e094d45-cbcb-49fb-a299-d8c5d06d3fe2,0.15566037735849056
0.995,0.028,0.1,88,0.05660377358490566,7b3bee68-b81a-428e-ba7c-079f15af25da,0.10566037735849057
0.995,0.029,0.1,81,0.03773584905660377,f2483cdd-540b-4be3-a9a8-50fb24f728e1,0.06981132075471698
0.995,0.03,0.1,74,0.0,38399f75-19a1-40c9-a682-cd4fa1467505,0.041509433962264156
